-25.0% to -6.01%,116
-6.0% to -5.01%,63
-5.0% to -4.01%,177
-4.0% to -3.01%,331
-3.0% to -2.01%,1019
-2.0% to -1.01%,2683
-1.0% to -0.01%,6690
0.0% to 0.99%,8032
1.0% to 1.99%,3629
2.0% to 2.99%,1177
3.0% to 3.99%,388
4.0% to 4.99%,152
5.0% to 5.99%,153
6.0% to 24.99%,153
,24763
